date,narration,debit,credit,balance,ref
2026-08-03,NEFT-RAZORPAY SOFTWARE PVT-UTR402913847562-SETTLEMENT,,13491625,904725625,N0001
2026-08-04,NEFT DR-HDFC0000123-CLOUDSPEND TECHNOLOGIES-INVOICE 2291,1849900,,902875725,N0002
2026-08-05,NEFT-RZPY-402913847999 STTL,,14005200,916880925,N0003
2026-08-05,NEFT-RZPY-402913847999 STTL,,14005200,930886125,N0004
2026-08-06,UPI/DR/619283746152/AWS INDIA/HDFC/AMAZON WEB SERV,942300,,929943825,N0005
2026-08-06,NEFT RAZORPAY*402914001233,,10464568,940408393,N0006
2026-08-07,NEFT CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-setl_D4P2-REF4O29I4II####,,12177275,952585668,N0007
2026-08-10,RTGS/RAZORPAYSOFTWARE/402914203451/SETTLEMENT,,16018951,968604619,N0008
2026-08-11,NEFT CR-ICIC0000455-STRIPE PAYMENTS INDIA-UTR911002345678,,2210000,970814619,N0009
2026-08-11,NEFT-RAZORPAY SOFTWARE PVT-UTR402914777001-SETTLEMENT,,88015000,1058829619,N0010
2026-08-13,SALARY DR AUG 2026 BULK TRANSFER 41 EMPLOYEES,38400000,,1020429619,N0011
2026-08-13,NEFT-RZPY-4O29I433#### STTL/CR,,9343164,1029772783,N0012
2026-08-13,NEFT CR RAZORPAY SOFTWARE PVT LTD SETTLEMENT,,10639493,1040412276,N0013
2026-08-13,NEFT CR RAZORPAY SOFTWARE PVT LTD SETTLEMENT,,10639493,1051051769,N0014
