order_id,order_amount,status,created_at,refunded_amount,payment_ref
ORD-00001,273300,paid,2026-08-01T12:48:00Z,0,402913847562
ORD-00002,211300,paid,2026-08-02T17:44:00Z,0,pay_kUu5oGpWjA
ORD-00003,248400,paid,2026-07-31T07:53:00Z,0,402913847562
ORD-00004,119600,paid,2026-07-31T20:16:00Z,0,
ORD-00005,455900,paid,2026-08-01T21:33:00Z,0,pay_ZGtSs5UpdW
ORD-00006,627700,paid,2026-08-01T22:05:00Z,0,pay_korPKVAFWA
ORD-00007,445800,paid,2026-07-31T15:19:00Z,0,pay_N58EGQJZr4
ORD-00008,348700,paid,2026-08-01T18:33:00Z,0,
ORD-00009,757700,paid,2026-08-01T16:13:00Z,0,pay_6hgo7pxB12
ORD-00010,203900,paid,2026-08-01T12:16:00Z,0,402913847562
ORD-00011,244900,paid,2026-08-01T15:43:00Z,0,pay_xvAKTjUSBa
ORD-00012,829900,paid,2026-08-02T16:34:00Z,0,pay_h70nAJwaGv
ORD-00013,851600,paid,2026-07-31T17:02:00Z,0,
ORD-00014,687100,paid,2026-08-02T20:54:00Z,0,pay_9mzQZpRWXd
ORD-00015,852100,paid,2026-08-02T12:12:00Z,0,pay_8wZhh4gWjs
ORD-00016,433300,paid,2026-07-31T18:00:00Z,0,pay_DV6XtmvUmS
ORD-00017,184300,paid,2026-08-02T22:25:00Z,0,pay_g3M7komJzP
ORD-00018,330400,paid,2026-08-01T15:57:00Z,0,pay_m6htDxquga
ORD-00019,859500,paid,2026-08-01T21:13:00Z,0,pay_iHwBqSLVAu
ORD-00020,191200,paid,2026-07-31T20:17:00Z,0,402913847562
ORD-00021,327500,paid,2026-08-02T11:36:00Z,0,pay_KmvozZLNQu
ORD-00022,713700,paid,2026-08-02T14:37:00Z,0,pay_9xJA0gXiKh
ORD-00023,696500,paid,2026-08-02T11:35:00Z,0,
ORD-00024,457200,paid,2026-08-02T10:54:00Z,0,
ORD-00025,196700,paid,2026-08-02T21:56:00Z,0,pay_qT7sSYQ0Ru
ORD-00026,123800,paid,2026-07-31T10:19:00Z,0,402913847562
ORD-00027,69100,paid,2026-08-02T12:13:00Z,0,402913847562
ORD-00028,793200,paid,2026-08-02T10:06:00Z,0,
ORD-00029,214200,paid,2026-07-31T15:28:00Z,0,pay_oFFMLgpQey
ORD-00030,871700,paid,2026-07-31T13:58:00Z,0,pay_dsqC3AvmTK
ORD-00031,602400,paid,2026-08-03T20:26:00Z,0,pay_pYHcesP8vy
ORD-00032,332100,paid,2026-08-04T16:35:00Z,0,pay_58c7ohbA9S
ORD-00033,645100,paid,2026-08-03T21:12:00Z,0,pay_Q68M5MjCTQ
ORD-00034,555800,paid,2026-08-04T16:33:00Z,0,402913847999
ORD-00035,514800,paid,2026-08-04T11:42:00Z,0,pay_m9ANJ3oJub
ORD-00036,382300,paid,2026-08-03T18:35:00Z,0,
ORD-00037,811400,paid,2026-08-03T09:57:00Z,0,pay_UHh9NkeU4Y
ORD-00038,790300,paid,2026-08-03T21:05:00Z,0,402913847999
ORD-00039,412700,paid,2026-08-04T10:43:00Z,0,402913847999
ORD-00040,362500,paid,2026-08-03T17:24:00Z,0,pay_VkEPKcbbDy
ORD-00041,770700,paid,2026-08-04T10:23:00Z,0,pay_uojykypoSo
ORD-00042,575500,refunded,2026-08-03T15:45:00Z,575500,pay_ZWmNiwiuxw
ORD-00043,705600,paid,2026-08-04T08:04:00Z,0,pay_aKmwx2LueL
