settlement_id,payment_id,order_id,type,amount,fee,tax,settled_at,utr
setl_A1F3,pay_jsk2Fv53cP,ORD-00001,payment,273300,2186,393,2026-08-03T11:02:00Z,402913847562
setl_A1F3,pay_kUu5oGpWjA,ORD-00002,payment,211300,1690,304,2026-08-03T11:02:00Z,402913847562
setl_A1F3,pay_7LssKmqLnH,ORD-00003,payment,248400,1987,358,2026-08-03T11:02:00Z,402913847562
setl_A1F3,pay_bg1go3KWm1,ORD-00004,payment,119600,957,172,2026-08-03T11:02:00Z,402913847562
setl_A1F3,pay_ZGtSs5UpdW,ORD-00005,payment,455900,3647,656,2026-08-03T11:02:00Z,402913847562
setl_A1F3,pay_korPKVAFWA,ORD-00006,payment,627700,5022,904,2026-08-03T11:02:00Z,402913847562
setl_A1F3,pay_N58EGQJZr4,ORD-00007,payment,445800,3566,642,2026-08-03T11:02:00Z,402913847562
setl_A1F3,pay_BjZNaQdy5G,ORD-00008,payment,348700,2790,502,2026-08-03T11:02:00Z,402913847562
setl_A1F3,pay_6hgo7pxB12,ORD-00009,payment,757700,6062,1091,2026-08-03T11:02:00Z,402913847562
setl_A1F3,pay_cNkMuA66bH,ORD-00010,payment,203900,1631,294,2026-08-03T11:02:00Z,402913847562
setl_A1F3,pay_xvAKTjUSBa,ORD-00011,payment,244900,1959,353,2026-08-03T11:02:00Z,402913847562
setl_A1F3,pay_h70nAJwaGv,ORD-00012,payment,829900,6639,1195,2026-08-03T11:02:00Z,402913847562
setl_A1F3,pay_e1JSGBg7kg,ORD-00013,payment,851600,6813,1226,2026-08-03T11:02:00Z,402913847562
setl_A1F3,pay_9mzQZpRWXd,ORD-00014,payment,687100,5497,989,2026-08-03T11:02:00Z,402913847562
setl_A1F3,pay_8wZhh4gWjs,ORD-00015,payment,852100,6817,1227,2026-08-03T11:02:00Z,402913847562
setl_A1F3,pay_DV6XtmvUmS,ORD-00016,payment,433300,3466,624,2026-08-03T11:02:00Z,402913847562
setl_A1F3,pay_g3M7komJzP,ORD-00017,payment,184300,1474,265,2026-08-03T11:02:00Z,402913847562
setl_A1F3,pay_m6htDxquga,ORD-00018,payment,330400,2643,476,2026-08-03T11:02:00Z,402913847562
setl_A1F3,pay_iHwBqSLVAu,ORD-00019,payment,859500,6876,1238,2026-08-03T11:02:00Z,402913847562
setl_A1F3,pay_YE7aoEL2hF,ORD-00020,payment,191200,1530,275,2026-08-03T11:02:00Z,402913847562
setl_A1F3,pay_KmvozZLNQu,ORD-00021,payment,327500,2620,472,2026-08-03T11:02:00Z,402913847562
setl_A1F3,pay_9xJA0gXiKh,ORD-00022,payment,713700,5710,1028,2026-08-03T11:02:00Z,402913847562
setl_A1F3,pay_0bVK3oHKWC,ORD-00023,payment,696500,5572,1003,2026-08-03T11:02:00Z,402913847562
setl_A1F3,pay_973pbzYZXi,ORD-00024,payment,457200,3658,658,2026-08-03T11:02:00Z,402913847562
setl_A1F3,pay_qT7sSYQ0Ru,ORD-00025,payment,196700,1574,283,2026-08-03T11:02:00Z,402913847562
setl_A1F3,pay_S7PCaA6dKz,ORD-00026,payment,123800,990,178,2026-08-03T11:02:00Z,402913847562
setl_A1F3,pay_L3GoFg6RgV,ORD-00027,payment,69100,553,100,2026-08-03T11:02:00Z,402913847562
setl_A1F3,pay_4Q8rJjGigJ,ORD-00028,payment,793200,6346,1142,2026-08-03T11:02:00Z,402913847562
setl_A1F3,pay_oFFMLgpQey,ORD-00029,payment,214200,1714,309,2026-08-03T11:02:00Z,402913847562
setl_A1F3,pay_dsqC3AvmTK,ORD-00030,payment,871700,6974,1255,2026-08-03T11:02:00Z,402913847562
setl_B2K7,pay_pYHcesP8vy,ORD-00031,payment,602400,4819,867,2026-08-05T11:02:00Z,402913847999
setl_B2K7,pay_58c7ohbA9S,ORD-00032,payment,332100,2657,478,2026-08-05T11:02:00Z,402913847999
setl_B2K7,pay_Q68M5MjCTQ,ORD-00033,payment,645100,5161,929,2026-08-05T11:02:00Z,402913847999
setl_B2K7,pay_1AdBPMthNv,ORD-00034,payment,555800,4446,800,2026-08-05T11:02:00Z,402913847999
setl_B2K7,pay_m9ANJ3oJub,ORD-00035,payment,514800,4118,741,2026-08-05T11:02:00Z,402913847999
setl_B2K7,pay_eZ0dohSKpt,ORD-00036,payment,382300,3058,550,2026-08-05T11:02:00Z,402913847999
setl_B2K7,pay_UHh9NkeU4Y,ORD-00037,payment,811400,6491,1168,2026-08-05T11:02:00Z,402913847999
setl_B2K7,pay_gTxyQk7dXG,ORD-00038,payment,790300,6322,1138,2026-08-05T11:02:00Z,402913847999
setl_B2K7,pay_zQbdYUG6c7,ORD-00039,payment,412700,3302,594,2026-08-05T11:02:00Z,402913847999
setl_B2K7,pay_VkEPKcbbDy,ORD-00040,payment,362500,2900,522,2026-08-05T11:02:00Z,402913847999
setl_B2K7,pay_uojykypoSo,ORD-00041,payment,770700,6166,1110,2026-08-05T11:02:00Z,402913847999
setl_B2K7,pay_ZWmNiwiuxw,ORD-00042,payment,575500,4604,829,2026-08-05T11:02:00Z,402913847999
setl_B2K7,pay_aKmwx2LueL,ORD-00043,payment,705600,5645,1016,2026-08-05T11:02:00Z,402913847999
setl_B2K7,pay_EMXZYj0eMj,ORD-00044,payment,310200,2482,447,2026-08-05T11:02:00Z,402913847999
setl_B2K7,pay_5Z2KLeauYo,ORD-00045,payment,365500,2924,526,2026-08-05T11:02:00Z,402913847999
setl_B2K7,pay_icy2RhXW7Y,ORD-00046,payment,528400,4227,761,2026-08-05T11:02:00Z,402913847999
setl_B2K7,pay_zeEywM3M9u,ORD-00047,payment,318400,2547,458,2026-08-05T11:02:00Z,402913847999
setl_B2K7,pay_XTzbA79Nu1,ORD-00048,payment,667000,5336,960,2026-08-05T11:02:00Z,402913847999
setl_B2K7,pay_n0wnFWQP12,ORD-00049,payment,86300,690,124,2026-08-05T11:02:00Z,402913847999
setl_B2K7,pay_xDzSZLVxLw,ORD-00050,payment,39400,315,57,2026-08-05T11:02:00Z,402913847999
setl_B2K7,pay_c23TWtHBYu,ORD-00051,payment,702700,5622,1012,2026-08-05T11:02:00Z,402913847999
setl_B2K7,pay_iJKKhmdYr0,ORD-00052,payment,508200,4066,732,2026-08-05T11:02:00Z,402913847999
setl_B2K7,pay_q4eZnmhC67,ORD-00053,payment,308900,2471,445,2026-08-05T11:02:00Z,402913847999
setl_B2K7,pay_B6ibs9P7ZL,ORD-00054,payment,578600,4629,833,2026-08-05T11:02:00Z,402913847999
setl_B2K7,pay_Wg4tn6K6jV,ORD-00055,payment,476800,3814,687,2026-08-05T11:02:00Z,402913847999
setl_B2K7,pay_aYqXozkCQb,ORD-00056,payment,891700,7134,1284,2026-08-05T11:02:00Z,402913847999
setl_B2K7,pay_FW6jBF0G29,ORD-00057,payment,132500,1060,191,2026-08-05T11:02:00Z,402913847999
setl_B2K7,pay_1q8xecijT2,ORD-00058,payment,686900,5495,989,2026-08-05T11:02:00Z,402913847999
setl_B2K7,pay_xov0ubk4B5,ORD-00059,payment,347900,2783,501,2026-08-05T11:02:00Z,402913847999
setl_B2K7,pay_wYKXYNfhXB,ORD-00060,payment,390200,3122,562,2026-08-05T11:02:00Z,402913847999
setl_B2K7,pay_PysCADw21X,ORD-00061,payment,435100,3481,627,2026-08-05T11:02:00Z,402913847999
setl_B2K7,pay_26UED5iu0K,ORD-00062,payment,333800,2670,481,2026-08-05T11:02:00Z,402913847999
setl_B2K7,rfnd_7ivgkyQynV,ORD-00042,refund,-575500,0,0,2026-08-05T11:02:00Z,402913847999
setl_B2K7,rfnd_iXidXQDytw,ORD-00052,refund,-508200,0,0,2026-08-05T11:02:00Z,402913847999
setl_B2K7,rfnd_ZNeqQVWviW,ORD-00062,refund,-333800,0,0,2026-08-05T11:02:00Z,402913847999
setl_C3M9,pay_3q9smCY4uz,ORD-00063,payment,572500,4580,824,2026-08-06T11:02:00Z,402914001233
setl_C3M9,pay_WJr1JS8NkE,ORD-00064,payment,742000,5936,1068,2026-08-06T11:02:00Z,402914001233
